# Compact pinyin → hanzi. Generated from mozillazg/pinyin-data (MIT).
a	吖呵啊嗄腌錒锕阿
ai	乂乃伌佁僾儗凒剴厓叆呃呆
an	侒俺儑匼厂厈咹唵啽垵垾埯
ang	仰卬岇昂昻枊盎肮腌醃醠骯
ao	傲凹厫嗷嗸噢嚣囂坳垇墺墽
ba	把丷仈伯八叐叭吧哱哵坝坺
bai	伯佰呗唄啡庍扒拜拝挀捭排
ban	並伴办半卑坂坢埿姅岅彬怑
bang	並傍嗙垹埲塝嫎帮幇幚幫彭
bao	佨保儤刨剥勹勽包呆嘐嚗堡
bei	俻俾倍偝偹備僃北卑呗哱唄
ben	本体倴喯坋坌夯夲奔奙捹撪
beng	伻俸傍傰唪嗙嘣埄埲堋塴奟
bi	仳佊佖佛俾偪匕卑吡咇哔啚
bian	便匾卞变変封峅弁徧忭惼扁
biao	俵僄儦剽墂婊嫖幖彪摽杓标
bie	別别咇彆徶憋扒拔捌撇柭柲
bin	份傧儐宾彬摈擯攽斌梹椕槟
bing	丙並仌仒併倂偋傡兵冫冰垪
bo	亳仢伯佛侼僠僰剝剥勃募博
bu	不部佈僕勏卜卟吥咘哺喸埔
ca	傪嚓囃拆擦攃磣礤礸蔡遪
cai	倸偲啋埰婇寀彩才扐採揌材
can	傪儏参參叄叅喰嘇噆囋嬠孱
cang	仓仺伧倉傖凔匨嵢欌沧滄濸
cao	傮嘈屮嶆愺慅慒慥懆撡操曹
ce	侧側冊册厕厠墄嫧幘廁恻惻
cen	参參岑嵾梣汵涔硶穇笒篸
ceng	僧噌增层層嶒曽曾橧竲繒蹭
cha	仛侘偛刹叉喳嗏嚓土垞奼姹
chai	侪儕喍囆差扠拆搓查柴犲瘥
chan	丳产亶佔僝僤儃儳兔冁刬剗
chang	长仧仩伥倀倘倡偿僘償儻兏
chao	仦仯剿劋勦吵嘮嘲巐巢巣弨
che	车伡俥偖勶呫唓喢坼奲宅尺
chen	伧侲傖儭嗔嚫堪填塵墋夦宸
cheng	成丞乗乘侱倀偁傖僜净呈嗆
chi	她佁侈侙俿傺剟勅勑匙卙卶
chong	种偅傭僮充冲喠嘃埫宠寵崇
chou	丑丒仇侴俦偢儔吜嚋圳妯婤
chu	出亍俶傗储儊儲処刍初助厨
chua	撮欻歘
chuai	啐啜嘬揣搋欼腄膗膪踹
chuan	串丳传傳僢剶喘圌團巛川惴
